*** DUMP ../airbornenight.plf ***

    dwHdrVersion: 0x0000000d
       dwHdrSize: 0x00000038
   dwSectHdrSize: 0x00000014
      dwFileType: 0x00000002 (ARCHIVE)
    dwEntryPoint: 0x00000000
    dwTargetPlat: 0x00000004
    dwTargetAppl: 0x00000073
      dwHwCompat: 0x0b66984e
  dwVersionMajor: 0x00000002
  dwVersionMinor: 0x00000006
 dwVersionBugfix: 0x00000008
      dwLangZone: 0x00000000
      dwFileSize: 0x00cb09d8
-- Number of sections: 824 --
Sect 0042: Type: 0x00000009, Size: 0x00000464, CRC32: 0xe6b6f87b, LoadAddr: 0x00000000, UncomprSize: 0x000009f8
Sect 0043: Type: 0x00000009, Size: 0x0000045a, CRC32: 0x3d155b08, LoadAddr: 0x00000000, UncomprSize: 0x00000ae3
Sect 0044: Type: 0x00000009, Size: 0x000003a3, CRC32: 0x4fb54d09, LoadAddr: 0x00000000, UncomprSize: 0x000006fd
Sect 0045: Type: 0x00000009, Size: 0x000002aa, CRC32: 0xf753ff67, LoadAddr: 0x00000000, UncomprSize: 0x0000047d
Sect 0046: Type: 0x00000009, Size: 0x0000006e, CRC32: 0x0ced5a0d, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0047: Type: 0x00000009, Size: 0x0000018d, CRC32: 0x5107a595, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0048: Type: 0x00000009, Size: 0x0000017d, CRC32: 0x9c9f692a, LoadAddr: 0x00000000, UncomprSize: 0x00000231
Sect 0049: Type: 0x00000009, Size: 0x00000196, CRC32: 0x590675de, LoadAddr: 0x00000000, UncomprSize: 0x0000032b
Sect 0050: Type: 0x00000009, Size: 0x00000199, CRC32: 0x84095558, LoadAddr: 0x00000000, UncomprSize: 0x000003d8
Sect 0051: Type: 0x00000009, Size: 0x000000b1, CRC32: 0x3ef1d6c8, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0052: Type: 0x00000009, Size: 0x000000a3, CRC32: 0xb48eeaee, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0053: Type: 0x00000009, Size: 0x00000194, CRC32: 0x6890fb05, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0054: Type: 0x00000009, Size: 0x00000014, CRC32: 0x87ca55e6, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0055: Type: 0x00000009, Size: 0x0000049c, CRC32: 0xd6d5f986, LoadAddr: 0x00000000, UncomprSize: 0x0000095e
Sect 0056: Type: 0x00000009, Size: 0x00000782, CRC32: 0xd5911692, LoadAddr: 0x00000000, UncomprSize: 0x00002024
Sect 0057: Type: 0x00000009, Size: 0x000001ad, CRC32: 0x0e823899, LoadAddr: 0x00000000, UncomprSize: 0x0000027f
Sect 0058: Type: 0x00000009, Size: 0x00000338, CRC32: 0x564bcec1, LoadAddr: 0x00000000, UncomprSize: 0x0000072b
Sect 0059: Type: 0x00000009, Size: 0x00000016, CRC32: 0x85c9da94, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0060: Type: 0x00000009, Size: 0x000001f5, CRC32: 0x9ef8fb9d, LoadAddr: 0x00000000, UncomprSize: 0x00000488
Sect 0061: Type: 0x00000009, Size: 0x00000282, CRC32: 0xf31e6e59, LoadAddr: 0x00000000, UncomprSize: 0x00000619
Sect 0062: Type: 0x00000009, Size: 0x0000021e, CRC32: 0x0c6ee40e, LoadAddr: 0x00000000, UncomprSize: 0x00000401
Sect 0063: Type: 0x00000009, Size: 0x00000018, CRC32: 0xc4b88076, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0064: Type: 0x00000009, Size: 0x0000001e, CRC32: 0xdb96ee4c, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0065: Type: 0x00000009, Size: 0x00000022, CRC32: 0xfd4ef1b6, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0066: Type: 0x00000009, Size: 0x00000128, CRC32: 0x1b311dfc, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0067: Type: 0x00000009, Size: 0x000000ec, CRC32: 0x94d3a49d, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0068: Type: 0x00000009, Size: 0x0000020b, CRC32: 0x5db65535, LoadAddr: 0x00000000, UncomprSize: 0x0000064a
Sect 0069: Type: 0x00000009, Size: 0x00000028, CRC32: 0x2f5bac74, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0070: Type: 0x00000009, Size: 0x0000014a, CRC32: 0xfb540fdd, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0071: Type: 0x00000009, Size: 0x000003dc, CRC32: 0x8808d03e, LoadAddr: 0x00000000, UncomprSize: 0x00000951
